id,date_value,hour_value,mmYYYY_value
8785,1-Jan-2013,0,01/2013
8786,1-Jan-2013,1,01/2013
8787,1-Jan-2013,2,01/2013
8788,1-Jan-2013,3,01/2013
8789,1-Jan-2013,4,01/2013
8790,1-Jan-2013,5,01/2013
8791,1-Jan-2013,6,01/2013
8792,1-Jan-2013,7,01/2013
8793,1-Jan-2013,8,01/2013
8794,1-Jan-2013,9,01/2013
8795,1-Jan-2013,10,01/2013
8796,1-Jan-2013,11,01/2013
8797,1-Jan-2013,12,01/2013
8798,1-Jan-2013,13,01/2013
8799,1-Jan-2013,14,01/2013
8800,1-Jan-2013,15,01/2013
8801,1-Jan-2013,16,01/2013
8802,1-Jan-2013,17,01/2013
8803,1-Jan-2013,18,01/2013
8804,1-Jan-2013,19,01/2013
8805,1-Jan-2013,20,01/2013
8806,1-Jan-2013,21,01/2013
8807,1-Jan-2013,22,01/2013
8808,1-Jan-2013,23,01/2013
8809,2-Jan-2013,0,01/2013
8810,2-Jan-2013,1,01/2013
8811,2-Jan-2013,2,01/2013
8812,2-Jan-2013,3,01/2013
8813,2-Jan-2013,4,01/2013
8814,2-Jan-2013,5,01/2013
8815,2-Jan-2013,6,01/2013
8816,2-Jan-2013,7,01/2013
8817,2-Jan-2013,8,01/2013
8818,2-Jan-2013,9,01/2013
8819,2-Jan-2013,10,01/2013
8820,2-Jan-2013,11,01/2013
8821,2-Jan-2013,12,01/2013
8822,2-Jan-2013,13,01/2013
8823,2-Jan-2013,14,01/2013
8824,2-Jan-2013,15,01/2013
8825,2-Jan-2013,16,01/2013
8826,2-Jan-2013,17,01/2013
8827,2-Jan-2013,18,01/2013
8828,2-Jan-2013,19,01/2013
8829,2-Jan-2013,20,01/2013
8830,2-Jan-2013,21,01/2013
8831,2-Jan-2013,22,01/2013
8832,2-Jan-2013,23,01/2013
8833,3-Jan-2013,0,01/2013
8834,3-Jan-2013,1,01/2013
8835,3-Jan-2013,2,01/2013
8836,3-Jan-2013,3,01/2013
8837,3-Jan-2013,4,01/2013
8838,3-Jan-2013,5,01/2013
8839,3-Jan-2013,6,01/2013
8840,3-Jan-2013,7,01/2013
8841,3-Jan-2013,8,01/2013
8842,3-Jan-2013,9,01/2013
8843,3-Jan-2013,10,01/2013
8844,3-Jan-2013,11,01/2013
8845,3-Jan-2013,12,01/2013
8846,3-Jan-2013,13,01/2013
8847,3-Jan-2013,14,01/2013
8848,3-Jan-2013,15,01/2013
8849,3-Jan-2013,16,01/2013
8850,3-Jan-2013,17,01/2013
8851,3-Jan-2013,18,01/2013
8852,3-Jan-2013,19,01/2013
8853,3-Jan-2013,20,01/2013
8854,3-Jan-2013,21,01/2013
8855,3-Jan-2013,22,01/2013
8856,3-Jan-2013,23,01/2013
8857,4-Jan-2013,0,01/2013
8858,4-Jan-2013,1,01/2013
8859,4-Jan-2013,2,01/2013
8860,4-Jan-2013,3,01/2013
8861,4-Jan-2013,4,01/2013
8862,4-Jan-2013,5,01/2013
8863,4-Jan-2013,6,01/2013
8864,4-Jan-2013,7,01/2013
8865,4-Jan-2013,8,01/2013
8866,4-Jan-2013,9,01/2013
8867,4-Jan-2013,10,01/2013
8868,4-Jan-2013,11,01/2013
8869,4-Jan-2013,12,01/2013
8870,4-Jan-2013,13,01/2013
8871,4-Jan-2013,14,01/2013
8872,4-Jan-2013,15,01/2013
8873,4-Jan-2013,16,01/2013
8874,4-Jan-2013,17,01/2013
8875,4-Jan-2013,18,01/2013
8876,4-Jan-2013,19,01/2013
8877,4-Jan-2013,20,01/2013
8878,4-Jan-2013,21,01/2013
8879,4-Jan-2013,22,01/2013
8880,4-Jan-2013,23,01/2013
8881,5-Jan-2013,0,01/2013
8882,5-Jan-2013,1,01/2013
8883,5-Jan-2013,2,01/2013
8884,5-Jan-2013,3,01/2013
8885,5-Jan-2013,4,01/2013
8886,5-Jan-2013,5,01/2013
8887,5-Jan-2013,6,01/2013
8888,5-Jan-2013,7,01/2013
8889,5-Jan-2013,8,01/2013
8890,5-Jan-2013,9,01/2013
8891,5-Jan-2013,10,01/2013
8892,5-Jan-2013,11,01/2013
8893,5-Jan-2013,12,01/2013
8894,5-Jan-2013,13,01/2013
8895,5-Jan-2013,14,01/2013
8896,5-Jan-2013,15,01/2013
8897,5-Jan-2013,16,01/2013
8898,5-Jan-2013,17,01/2013
8899,5-Jan-2013,18,01/2013
8900,5-Jan-2013,19,01/2013
8901,5-Jan-2013,20,01/2013
8902,5-Jan-2013,21,01/2013
8903,5-Jan-2013,22,01/2013
8904,5-Jan-2013,23,01/2013
8905,6-Jan-2013,0,01/2013
8906,6-Jan-2013,1,01/2013
8907,6-Jan-2013,2,01/2013
8908,6-Jan-2013,3,01/2013
8909,6-Jan-2013,4,01/2013
8910,6-Jan-2013,5,01/2013
8911,6-Jan-2013,6,01/2013
8912,6-Jan-2013,7,01/2013
8913,6-Jan-2013,8,01/2013
8914,6-Jan-2013,9,01/2013
8915,6-Jan-2013,10,01/2013
8916,6-Jan-2013,11,01/2013
8917,6-Jan-2013,12,01/2013
8918,6-Jan-2013,13,01/2013
8919,6-Jan-2013,14,01/2013
8920,6-Jan-2013,15,01/2013
8921,6-Jan-2013,16,01/2013
8922,6-Jan-2013,17,01/2013
8923,6-Jan-2013,18,01/2013
8924,6-Jan-2013,19,01/2013
8925,6-Jan-2013,20,01/2013
8926,6-Jan-2013,21,01/2013
8927,6-Jan-2013,22,01/2013
8928,6-Jan-2013,23,01/2013
8929,7-Jan-2013,0,01/2013
8930,7-Jan-2013,1,01/2013
8931,7-Jan-2013,2,01/2013
8932,7-Jan-2013,3,01/2013
8933,7-Jan-2013,4,01/2013
8934,7-Jan-2013,5,01/2013
8935,7-Jan-2013,6,01/2013
8936,7-Jan-2013,7,01/2013
8937,7-Jan-2013,8,01/2013
8938,7-Jan-2013,9,01/2013
8939,7-Jan-2013,10,01/2013
8940,7-Jan-2013,11,01/2013
8941,7-Jan-2013,12,01/2013
8942,7-Jan-2013,13,01/2013
8943,7-Jan-2013,14,01/2013
8944,7-Jan-2013,15,01/2013
8945,7-Jan-2013,16,01/2013
8946,7-Jan-2013,17,01/2013
8947,7-Jan-2013,18,01/2013
8948,7-Jan-2013,19,01/2013
8949,7-Jan-2013,20,01/2013
8950,7-Jan-2013,21,01/2013
8951,7-Jan-2013,22,01/2013
8952,7-Jan-2013,23,01/2013
8953,8-Jan-2013,0,01/2013
8954,8-Jan-2013,1,01/2013
8955,8-Jan-2013,2,01/2013
8956,8-Jan-2013,3,01/2013
8957,8-Jan-2013,4,01/2013
8958,8-Jan-2013,5,01/2013
8959,8-Jan-2013,6,01/2013
8960,8-Jan-2013,7,01/2013
8961,8-Jan-2013,8,01/2013
8962,8-Jan-2013,9,01/2013
8963,8-Jan-2013,10,01/2013
8964,8-Jan-2013,11,01/2013
8965,8-Jan-2013,12,01/2013
8966,8-Jan-2013,13,01/2013
8967,8-Jan-2013,14,01/2013
8968,8-Jan-2013,15,01/2013
8969,8-Jan-2013,16,01/2013
8970,8-Jan-2013,17,01/2013
8971,8-Jan-2013,18,01/2013
8972,8-Jan-2013,19,01/2013
8973,8-Jan-2013,20,01/2013
8974,8-Jan-2013,21,01/2013
8975,8-Jan-2013,22,01/2013
8976,8-Jan-2013,23,01/2013
8977,9-Jan-2013,0,01/2013
8978,9-Jan-2013,1,01/2013
8979,9-Jan-2013,2,01/2013
8980,9-Jan-2013,3,01/2013
8981,9-Jan-2013,4,01/2013
8982,9-Jan-2013,5,01/2013
8983,9-Jan-2013,6,01/2013
8984,9-Jan-2013,7,01/2013
8985,9-Jan-2013,8,01/2013
8986,9-Jan-2013,9,01/2013
8987,9-Jan-2013,10,01/2013
8988,9-Jan-2013,11,01/2013
8989,9-Jan-2013,12,01/2013
8990,9-Jan-2013,13,01/2013
8991,9-Jan-2013,14,01/2013
8992,9-Jan-2013,15,01/2013
8993,9-Jan-2013,16,01/2013
8994,9-Jan-2013,17,01/2013
8995,9-Jan-2013,18,01/2013
8996,9-Jan-2013,19,01/2013
8997,9-Jan-2013,20,01/2013
8998,9-Jan-2013,21,01/2013
8999,9-Jan-2013,22,01/2013
9000,9-Jan-2013,23,01/2013
9001,10-Jan-2013,0,01/2013
9002,10-Jan-2013,1,01/2013
9003,10-Jan-2013,2,01/2013
9004,10-Jan-2013,3,01/2013
9005,10-Jan-2013,4,01/2013
9006,10-Jan-2013,5,01/2013
9007,10-Jan-2013,6,01/2013
9008,10-Jan-2013,7,01/2013
9009,10-Jan-2013,8,01/2013
9010,10-Jan-2013,9,01/2013
9011,10-Jan-2013,10,01/2013
9012,10-Jan-2013,11,01/2013
9013,10-Jan-2013,12,01/2013
9014,10-Jan-2013,13,01/2013
9015,10-Jan-2013,14,01/2013
9016,10-Jan-2013,15,01/2013
9017,10-Jan-2013,16,01/2013
9018,10-Jan-2013,17,01/2013
9019,10-Jan-2013,18,01/2013
