id,date_value,hour_value,mmYYYY_value
17545,1-Jan-2014,0,01/2014
17546,1-Jan-2014,1,01/2014
17547,1-Jan-2014,2,01/2014
17548,1-Jan-2014,3,01/2014
17549,1-Jan-2014,4,01/2014
17550,1-Jan-2014,5,01/2014
17551,1-Jan-2014,6,01/2014
17552,1-Jan-2014,7,01/2014
17553,1-Jan-2014,8,01/2014
17554,1-Jan-2014,9,01/2014
17555,1-Jan-2014,10,01/2014
17556,1-Jan-2014,11,01/2014
17557,1-Jan-2014,12,01/2014
17558,1-Jan-2014,13,01/2014
17559,1-Jan-2014,14,01/2014
17560,1-Jan-2014,15,01/2014
17561,1-Jan-2014,16,01/2014
17562,1-Jan-2014,17,01/2014
17563,1-Jan-2014,18,01/2014
17564,1-Jan-2014,19,01/2014
17565,1-Jan-2014,20,01/2014
17566,1-Jan-2014,21,01/2014
17567,1-Jan-2014,22,01/2014
17568,1-Jan-2014,23,01/2014
17569,2-Jan-2014,0,01/2014
17570,2-Jan-2014,1,01/2014
17571,2-Jan-2014,2,01/2014
17572,2-Jan-2014,3,01/2014
17573,2-Jan-2014,4,01/2014
17574,2-Jan-2014,5,01/2014
17575,2-Jan-2014,6,01/2014
17576,2-Jan-2014,7,01/2014
17577,2-Jan-2014,8,01/2014
17578,2-Jan-2014,9,01/2014
17579,2-Jan-2014,10,01/2014
17580,2-Jan-2014,11,01/2014
17581,2-Jan-2014,12,01/2014
17582,2-Jan-2014,13,01/2014
17583,2-Jan-2014,14,01/2014
17584,2-Jan-2014,15,01/2014
17585,2-Jan-2014,16,01/2014
17586,2-Jan-2014,17,01/2014
17587,2-Jan-2014,18,01/2014
17588,2-Jan-2014,19,01/2014
17589,2-Jan-2014,20,01/2014
17590,2-Jan-2014,21,01/2014
17591,2-Jan-2014,22,01/2014
17592,2-Jan-2014,23,01/2014
17593,3-Jan-2014,0,01/2014
17594,3-Jan-2014,1,01/2014
17595,3-Jan-2014,2,01/2014
17596,3-Jan-2014,3,01/2014
17597,3-Jan-2014,4,01/2014
17598,3-Jan-2014,5,01/2014
17599,3-Jan-2014,6,01/2014
17600,3-Jan-2014,7,01/2014
17601,3-Jan-2014,8,01/2014
17602,3-Jan-2014,9,01/2014
17603,3-Jan-2014,10,01/2014
17604,3-Jan-2014,11,01/2014
17605,3-Jan-2014,12,01/2014
17606,3-Jan-2014,13,01/2014
17607,3-Jan-2014,14,01/2014
17608,3-Jan-2014,15,01/2014
17609,3-Jan-2014,16,01/2014
17610,3-Jan-2014,17,01/2014
17611,3-Jan-2014,18,01/2014
17612,3-Jan-2014,19,01/2014
17613,3-Jan-2014,20,01/2014
17614,3-Jan-2014,21,01/2014
17615,3-Jan-2014,22,01/2014
17616,3-Jan-2014,23,01/2014
17617,4-Jan-2014,0,01/2014
17618,4-Jan-2014,1,01/2014
17619,4-Jan-2014,2,01/2014
17620,4-Jan-2014,3,01/2014
17621,4-Jan-2014,4,01/2014
17622,4-Jan-2014,5,01/2014
17623,4-Jan-2014,6,01/2014
17624,4-Jan-2014,7,01/2014
17625,4-Jan-2014,8,01/2014
17626,4-Jan-2014,9,01/2014
17627,4-Jan-2014,10,01/2014
17628,4-Jan-2014,11,01/2014
17629,4-Jan-2014,12,01/2014
17630,4-Jan-2014,13,01/2014
